GEO_ID,NAME,reference_period,Number of Sales,Median Sale Price,Median Sale Price MOE,Median Household Income (Columbus MSA),Sales Price to Income Index (MORPC 15-county region),Median Sale Price (2024 Dollars),"Median Household Income (Columbus MSA, 2024 Dollars)",Percent Change in Median Sale Price (2024 Dollars),"Percent Change in Median Household Income (Columbus MSA, 2024 Dollars)"
0500000US39041,Delaware,2012,2263,255000.0,5624.158971749999,53699,4.748691781969869,348400.6332918108,73367.70826328215,0.0,0.0
0500000US39041,Delaware,2013,2706,255950.0,5497.214079122416,54079,4.732890770909226,344650.29833832,72820.25193919908,-1.076,-0.746
0500000US39041,Delaware,2014,2909,260000.0,5305.723438725205,56371,4.612300651043976,344515.1561232766,74694.86102240472,-1.115,1.809
0500000US39041,Delaware,2015,3356,271354.5,5613.399008054437,58192,4.663089428100083,359134.24670171336,77016.37556799724,3.081,4.973
0500000US39041,Delaware,2016,3569,280000.0,4626.019771162836,60294,4.643911500315123,365959.8261717367,78804.22056856676,5.04,7.41
0500000US39041,Delaware,2017,3538,305700.0,4939.432173598718,63764,4.794241264663446,391215.4344810705,81601.11535574413,12.289,11.222
0500000US39041,Delaware,2018,3306,325000.0,4625.017675536014,64052,5.074002373071879,405997.94111673516,80015.32345972037,16.532,9.061
0500000US39041,Delaware,2019,3470,339437.5,4751.639466704568,67207,5.050627166812981,416486.9725354674,82462.42670061841,19.543,12.396
0500000US39041,Delaware,2020,3726,367000.0,5513.867528999531,66715,5.5010117664693094,444818.27665748366,80861.17527848508,27.674,10.214
0500000US39041,Delaware,2021,3752,410000.0,6267.248229994058,71839,5.707206392071159,474637.37683138356,83164.57198582869,36.233,13.353
0500000US39041,Delaware,2022,3336,455000.0,7017.329129097251,75777,6.004460456338995,487702.2261707472,81223.32218140816,39.983,10.707
0500000US39041,Delaware,2023,2934,487500.0,7694.9724626857815,77390,6.299263470732653,501878.5157301232,79672.57093816253,44.052,8.594
0500000US39041,Delaware,2024,3036,500000.0,8040.749422739592,82938,6.028599676867057,500000.0,82938.0,43.513,13.044
0500000US39045,Fairfield,2012,1326,142500.0,3793.3860302001394,53699,2.6536807016890447,194694.4715454237,73367.70826328215,0.0,0.0
0500000US39045,Fairfield,2013,1455,145500.0,3787.225738664292,54079,2.690508330405518,195923.4944646437,72820.25193919908,0.631,-0.746
0500000US39045,Fairfield,2014,1542,157000.0,3718.940239137174,56371,2.7851200085150167,208034.1519667478,74694.86102240472,6.852,1.809
0500000US39045,Fairfield,2015,1732,161500.0,3699.019606783997,58192,2.775295573274677,213743.2061835227,77016.37556799724,9.784,4.973
0500000US39045,Fairfield,2016,2021,178500.0,3487.4137592525394,60294,2.9604935814508906,233299.38918448213,78804.22056856676,19.828,7.41
0500000US39045,Fairfield,2017,2111,195000.0,3786.84981577325,63764,3.058151935261276,249548.60884464753,81601.11535574413,28.174,11.222
0500000US39045,Fairfield,2018,2008,207000.0,3901.634025652904,64052,3.231749203771935,258589.45788050516,80015.32345972037,32.818,9.061
0500000US39045,Fairfield,2019,2162,224500.0,4062.7052156144014,67207,3.340425848497924,275459.6216806111,82462.42670061841,41.483,12.396
0500000US39045,Fairfield,2020,2293,250000.0,4006.9038970058978,66715,3.7472832196657424,303009.7252435175,80861.17527848508,55.633,10.214
0500000US39045,Fairfield,2021,2434,293000.0,4547.6863603204,71839,4.078564567992316,339192.0766136473,83164.57198582869,74.218,13.353
0500000US39045,Fairfield,2022,2263,319000.0,5931.719127399451,75777,4.209720627631075,341927.4948317986,81223.32218140816,75.623,10.707
0500000US39045,Fairfield,2023,1970,330000.0,6087.486133385816,77390,4.264116810957488,339733.1491096219,79672.57093816253,74.496,8.594
