GEOIDFQ,NAME,GEOTYPE,Year,Number of Sales,Median Sales Price,Median Sales Price MOE,Median Household Income (MSA),Median Household Income MOE (MSA),Sales Price to Income Index (MSA),Median Sales Price (2024 Dollars),"Median Household Income (MSA, 2024 Dollars)"
0500000US39041,Delaware County,COUNTY,2012,2544,250000.0,5234.981091657345,53699,1282.0,4.6555801784018325,341569.2483253047,73367.70826328215
0500000US39041,Delaware County,COUNTY,2013,3049,249900.0,5085.38258826441,54079,1130.0,4.621017400469683,336503.65131762513,72820.25193919908
0500000US39041,Delaware County,COUNTY,2014,3019,259900.0,5166.383919921175,56371,981.0,4.6105266892551136,344382.6502939984,74694.86102240472
0500000US39041,Delaware County,COUNTY,2015,3372,271900.0,5593.2867894774145,58192,1604.0,4.672463568875447,359856.2090482961,77016.37556799724
0500000US39041,Delaware County,COUNTY,2016,3589,280000.0,4614.594517573321,60294,1005.0,4.643911500315123,365959.8261717367,78804.22056856676
0500000US39041,Delaware County,COUNTY,2017,3543,306000.0,4939.311585620713,63764,1469.0,4.798946113794617,391599.35541775456,81601.11535574413
0500000US39041,Delaware County,COUNTY,2018,3313,325000.0,4616.458704931319,64052,1189.0,5.074002373071879,405997.94111673516,80015.32345972037
0500000US39041,Delaware County,COUNTY,2019,3480,338625.0,4740.040784204152,67207,1091.0,5.038537652327882,415490.0418333939,82462.42670061841
0500000US39041,Delaware County,COUNTY,2020,3732,367000.0,5505.79789334072,66715,579.0,5.5010117664693094,444818.27665748366,80861.17527848508
0500000US39041,Delaware County,COUNTY,2021,3766,410000.0,6246.744742161143,71839,1250.0,5.707206392071159,474637.37683138356,83164.57198582869
0500000US39041,Delaware County,COUNTY,2022,3338,455000.0,7016.443298207012,75777,1639.0,6.004460456338995,487702.2261707472,81223.32218140816
0500000US39041,Delaware County,COUNTY,2023,2935,487500.0,7692.582858252996,77390,1550.0,6.299263470732653,501878.5157301232,79672.57093816253
0500000US39041,Delaware County,COUNTY,2024,3035,500000.0,8043.37954287916,82938,1487.0,6.028599676867057,500000.0,82938.0
0500000US39045,Fairfield County,COUNTY,2012,1329,142500.0,3791.3541134537445,53699,1282.0,2.6536807016890447,194694.4715454237,73367.70826328215
0500000US39045,Fairfield County,COUNTY,2013,1455,145500.0,3787.225738664292,54079,1130.0,2.690508330405518,195923.4944646437,72820.25193919908
0500000US39045,Fairfield County,COUNTY,2014,1545,157000.0,3718.0152422595224,56371,981.0,2.7851200085150167,208034.1519667478,74694.86102240472
0500000US39045,Fairfield County,COUNTY,2015,1733,161500.0,3696.920900964872,58192,1604.0,2.775295573274677,213743.2061835227,77016.37556799724
0500000US39045,Fairfield County,COUNTY,2016,2029,178900.0,3476.5543768833254,60294,1005.0,2.967127740737055,233822.18893615605,78804.22056856676
0500000US39045,Fairfield County,COUNTY,2017,2114,195000.0,3788.4982422717276,63764,1469.0,3.058151935261276,249548.60884464753,81601.11535574413
0500000US39045,Fairfield County,COUNTY,2018,2008,207000.0,3901.634025652904,64052,1189.0,3.231749203771935,258589.45788050516,80015.32345972037
0500000US39045,Fairfield County,COUNTY,2019,2163,224500.0,4061.958868324217,67207,1091.0,3.340425848497924,275459.6216806111,82462.42670061841
